p_id,Name,Brand,Price,DiscountedPrice,Category,SubCategory,Quantity,Description,BreadCrumbs
dmart1,"Premia Badam (Almonds)",Premia,451,329,Grocery,"Grocery/Dry Fruits","500 gm",India,"Grocery > Grocery/Dry Fruits"
dmart10,"Premia Mamra Badam",Premia,634,488,Grocery,"Dry Fruits","200 gm",India,"Grocery > Dry Fruits"
dmart100,"Organic Tattva Kala Chana","Organic Tattva",85,59,Grocery,Pulses,"500 gm","OverviewOrganic Tattva's Organic Kala Chana is full of iron, calcium, and protein. Along with these nutrients, a bowl of Organic Kala Chana also contains dietary fibers, vitamins, and all the other nutrients that are required for your body. A 100g serving of Organic Kala Chana contains 0g trans fat and 0mg cholesterol. The calorie count per serving of Organic Kala Chana is 351.68. If leading a healthy life is your mantra, then switch to Organic Kala Chana by Organic Tattva today!Key Features- 100% vegan- Gluten free- No additives- Organically grown without pesticides and fertilizers- Certified organicBenefitsKala Chana or Black Gram is famous for its high iron content which makes it a favorable food for menstruating, pregnant, or lactating women and growing children. So, Organic Tattva ensures their produce is grown in conditions that retain high quantities of iron and absolutely no addition of colours.Care InstructionsStore in a cool & dry place.About the BrandSince 1969, Mehrotra Impex (India), has been a manufacturer and exporter of handicrafts, household, kitchenware, and decorative items. In 2012, the company ventured into the Organic food Business with their domestic brand, Organic Tattva, of everyday grocery items for the Indian household. They are one of the leaders in the organic food industry, solely dedicated to providing the highest quality products, right from the field all the way to your kitchen.","Grocery > Pulses"
dmart1000,"Twinings Green Tea Lemon & Honey",Twinings,299,254,"Packaged Food","Gourmet Food","25 Bags","Key Features- A Classic Twist: Sweetness of honey with the tanginess of lemon, some flavours are simply made for each other. They decided to give a twist to the classic fusion of black tea with honey and lemon and brought a blend of green tea with lemon and honey.- Delicious & Soothing: A dash of lemon, carefully contrasted with the natural sweetness of honey, lends this delicate blend a delicious and soothing flavour.  Benefits: Pure green tea has less than one calorie and is a good source of hydration. Green teas are generally lower in caffeine than black teas. The Chinese believe that Green Teas can aid digestion.  How To Make The Perfect Green Tea Lemon & Honey: Boil some water and let it cool down a bit. Then pour the water into a cup and add a teabag. Let it brew for a max of 2 minutes or you may lose the delicate taste. Take a sip and let it revitalise you.  About the Brand The legacy of collecting the best tea from select tea gardens throughout the world got Twinings Royal Warrant by Queen Victoria for making tea for the British Monarchs. Your perfect tea break&ndash; generations in the making.","Packaged Food > Gourmet Food"
dmart1001,"Twinings Green Tea Lemon & Honey",Twinings,999,855,"Packaged Food","Gourmet Food","100 Bags","Key Features A Classic Twist: The rich sweetness of honey. The sharp tanginess of lemon. There are some flavours that are simply made for each other. People have been stirring honey and lemon into their black tea for generations. So They decided to give this old favourite a new twist by blending it with their delicate and golden green tea. Delicious & Soothing : A dash of lemon, carefully contrasted with the natural sweetness of honey, lends this delicate blend a delicious and soothing flavour.  Benefits: Pure green tea has less than one calorie and is a good source of hydration. Green teas are generally lower in caffeine than black teas. The Chinese believe that Green Teas can aid digestion.  How To Make The Perfect Green Tea Lemon & Honey: Boil some water, but let it cool slightly before pouring. Add a teabag to the cup of hot water and allow to brew for a maximum of 2 minutes, any longer and you may lose the delicate taste. Take the first sip and let the whole cup revitalize your spirits.  About the Brand Twinings teas have been an ideal choice of the Royal Households for more than 150 years. Twinings family members carry the legacy of expertise and passion from one generation to the next. All their master blenders have a minimum of 15 years of experience. Your perfect tea break, 300 years in making.","Packaged Food > Gourmet Food"
dmart1002,"Tea Culture Of The World Tulsi Ritual Exotic Tea","Tea Culture Of The World",249,175,"Dairy & Beverages",Beverages,"20 Bag","Key Features- The Infusion : Fresh and Herbal- Aroma: Herbal - Appearance: Pale Green - Taste: Mild and HerbalHow to UseTear open the sachet, steep the tea bag in hot water (80&deg;C) for 3 minutes and sip it up. You can add honey or sugar for sweetness as required.Benefits Tulsi green tea helps in weight loss, enhances stamina, and invigorates &ndash; a host of health benefits in a teacup.Care InstructionsStore in room temperature, Do not keep under sunlight.About the BrandThey started the journey in 2010 and today Tea Culture Of The World delights tea connoisseurs across India and the world with its signature blends of over 80 exquisite herbal and flavoured teas. Each is an experience unto itself.To make handcrafted whole leaf teas they started by first handpicking the tea estates. They plucked from places as far and wide as Japan, China, Vietnam, South Africa, Argentina, and of course, India. Fruits and herbs, from Europe. Flowers, from Egypt.When each blend is an invitation from the Founder to indulge in an experience that will linger for long, nothing less will do.","Dairy & Beverages > Beverages"
dmart1003,"Twinings Darjeeling Loose Leaf Tea",Twinings,750,601,"Packaged Food","Gourmet Food","100 gm","Key Features Darjeeling's Finest Teas: The Darjeeling region in north eastern India is a magical place. Nestled in the Himalayan foothills against the backdrop of Mt. Kanchenjunga, one of the highest peaks in the world, its distinctive tea plantations can be reached by the Himalayan Railway. People will travel far and wide for the exquisite teas produced in the Darjeeling tea gardens. The tea, from the foothills of Himalayas, is considered as the champagne of all teas. Rejuvenate Body & Mind: One whiff of this select blend of un-oxidized leaves and your senses will embark on a journey. A green tea that looks clear with a beautiful golden-yellow hue. Each sip brings with it the mystical and enchanting taste of Darjeeling. Not to mention, it will leave your mind and body fully rejuvenated  How To Make The Perfect Darjeeling Green Whole Leaf Tea: use 1 rounded teaspoon per person. Boil some water, but let it cool slightly before pouring. Allow the flavours to infuse for 3 minutes. You don&rsquo;t need to add anything for the perfect flavour.About The Brand Generations of the Twinings family have carried a legacy of passion in the crafting of tea. Queen Victoria granted Twinings its first Royal Warrant and our have had the honour of making tea for every British Monarch ever since. our master blenders travel the globe in search of the finest, rarest and most exciting teas. Your perfect tea-break &ndash; ten generations in the making.","Packaged Food > Gourmet Food"
dmart1004,"Twinings Green Tea & Lemon",Twinings,955,820,"Packaged Food","Gourmet Food","100 Bags","Key Features Cool & Refreshing: An earthy blend which, when combined with mint leaves and natural mint flavour, transforms into a refreshing, cooling combination, a perfect lift for any time of day. Feel Revitalised: Their green tea fused with the mint flavour makes every sip of this drink revitalizing. They choose our first and second flush green teas from the select tea gardens in China during spring, when the best teas leaves are in season.  Benefits: Pure green tea has less than one calorie and is a good source of hydration. Green teas are generally lower in caffeine than black teas. The Chinese believe that Green Teas can aid digestion.  How To Make The Perfect Green Tea & Mint: Boil some water and let it cool down a bit. Then pour the water into a cup and add a teabag. Let it brew for a max of 2 minutes or you may lose the delicate taste. Take a sip and let it revitalise you.  About The Brand The legacy of collecting the best tea from select tea gardens throughout the world got Twinings Royal Warrant by Queen Victoria for making tea for the British Monarchs. Your perfect tea break&ndash; generations in the making.","Packaged Food > Gourmet Food"
dmart1005,"Tea Culture Of The World Soothing Chamomile Exotic Tea","Tea Culture Of The World",299,210,"Dairy & Beverages",Beverages,"20 Bag","Key Features- The Infusion : Mild and Herbal - The Aroma: Fresh and Herbal- Appearance: Pale Green- Taste: Fresh, Mild and HerbalHow to UseTear Open the sachet, Steep the tea bag in hot water (80&deg;C) for 3 minutes and sip it up. You can add honey or sugar for sweetness as required.Benefits 1. Chamomile is known to aid restful sleep and may also relieve stress and anxiety.2. Antioxidants in green tea may protect against chronic diseases such as cancer and heart diseases.Care InstructionsStore in room temperature, Do not keep under sunlight.About the BrandThey started the journey in 2010 and today Tea Culture Of The World delights tea connoisseurs across India and the world with its signature blends of over 80 exquisite herbal and flavoured teas. Each is an experience unto itself.To make handcrafted whole leaf teas they started by first handpicking the tea estates. They plucked from places as far and wide as Japan, China, Vietnam, South Africa, Argentina, and of course, India. Fruits and herbs, from Europe. Flowers, from Egypt.When each blend is an invitation from the Founder to indulge in an experience that will linger for long, nothing less will do.","Dairy & Beverages > Beverages"
dmart1006,"Britannia Diced Pizza Cheese Blend",Britannia,150,125,"Dairy & Beverages",Dairy,"200 gm","Overview- Britannia Diced Pizza Cheese Blend brings to you a perfect blend of mozzarella cheese and cheddar cheese- This diced cheese is commonly used in starters and sides- Mozzarella is the most popular cheese option for a pizza and the cheddar cheese blends well with it- It is packed with calcium and minerals that are essential for the body- It has the most important nutrients for promoting bone health- It is perfect for any pizza making it flavourful and oh so gooey.Key Features- Used in a wide range of dishes- Rich in proteins, calcium and minerals.How to Use- This diced cheese is amazing for pizzas- It can also be used in sandwiches and toasts at home- Cut it into small cheesy chunks, melt it for a perfect cheese pull or grate it as a topping.IngredientsMozzarella Cheese- 70% (Milk Solids, Iodised Salt, Active Cultures & Microbial Enzyme) And Cheddar Cheese- 30% (Milk Solids, Iodised Salt, Active Cultures & Microbial Enzyme)Care Instructions- When stored refrigerated, it can be enjoyed for as long as nine months.","Dairy & Beverages > Dairy"
